u0	BIANCA	m0	10 things i hate about you	f
u1	BRUCE	m0	10 things i hate about you	m
u2	CAMERON	m0	10 things i hate about you	m
u3	CHASTITY	m0	10 things i hate about you	f
u4	JOEY	m0	10 things i hate about you	m
u5	KAT	m0	10 things i hate about you	f
u6	MANDELLA	m0	10 things i hate about you	f
u7	MICHAEL	m0	10 things i hate about you	m
u8	MISS PERKY	m0	10 things i hate about you	f
u9	PATRICK	m0	10 things i hate about you	m
u10	SHARON	m0	10 things i hate about you	f
u11	WALTER	m0	10 things i hate about you	m
u12	ALONSO	m1	1492: conquest of paradise	m
u13	AROJAZ	m1	1492: conquest of paradise	?
u14	BEATRIX	m1	1492: conquest of paradise	f
u15	BOBADILLA	m1	1492: conquest of paradise	?
u16	COLUMBUS	m1	1492: conquest of paradise	m
u17	FERNANDO	m1	1492: conquest of paradise	m
u18	ISABEL	m1	1492: conquest of paradise	f
u19	MARCHENA	m1	1492: conquest of paradise	m
u20	MENDEZ	m1	1492: conquest of paradise	?
u21	MOXICA	m1	1492: conquest of paradise	?
u22	PINZON	m1	1492: conquest of paradise	?
u23	SAILOR	m1	1492: conquest of paradise	f
u24	SANCHEZ	m1	1492: conquest of paradise	m
u25	UTAPAN	m1	1492: conquest of paradise	?
u26	CUTLER	m2	15 minutes	m
u27	DAPHNE	m2	15 minutes	f
u28	DUFFY	m2	15 minutes	m
u29	EDDIE	m2	15 minutes	m
u30	EMIL	m2	15 minutes	m
u31	HAWKINS	m2	15 minutes	m
u32	HONEY	m2	15 minutes	f
u33	IMMIGRATION OFFICER	m2	15 minutes	?
u34	JORDY	m2	15 minutes	m
u35	KORFIN	m2	15 minutes	m
u36	LEON	m2	15 minutes	m
u37	MAGGIE	m2	15 minutes	f
u38	MAX	m2	15 minutes	m
u39	MILOS	m2	15 minutes	m
u40	MUGGER	m2	15 minutes	?
u41	NICOLETTE	m2	15 minutes	f
u42	OLEG	m2	15 minutes	m
u43	ROBERT HAWKINS	m2	15 minutes	?
